id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1341845335079853663,(SA14) TsimShaTsui Cozy 3 Bedrooms | TST Harmony,573794163,Kin Hung,,Yau Tsim Mong,22.301961335998854,114.17695802530584,Entire home/apt,658,28,19,2025-06-15,4.10,6,149,19,
1342546677717773615,Spacious Entire Flat @heart of SOHO & Central,4148967,Wai Man Raymond,,Central & Western,22.2805417,114.1538399,Entire home/apt,666,2,13,2025-06-09,3.86,1,185,13,
1342583221600705726,12樓  其中二個房間 共可容納4人 尖沙咀尖東站 p3出口 2分鐘 機場直達 旅遊區,119690131,Cannis,,Yau Tsim Mong,22.2982093,114.1753096,Private room,597,1,0,,,44,364,0,
1343039128536980385,3BR Kowloon Homestay,675230541,Kwok Man,,Yau Tsim Mong,22.31535,114.16851,Entire home/apt,729,28,12,2025-05-15,2.47,1,285,12,
1343063444767530875,尖沙咀中心，兩人房，獨立廁所,51187996,Aqua,,Yau Tsim Mong,22.298118542188774,114.17219126515025,Private room,263,1,3,2025-05-18,0.65,5,330,3,
1343166058552524558,2 bedroom in Sw quiet neighbour tai ping shan,60588722,Kenneth Song Min,,Central & Western,22.284,114.14598,Entire home/apt,739,28,3,2025-05-07,0.69,15,360,3,
1343263496965206739,銅鑼灣私人大床房,50172398,Gloria,,Wan Chai,22.277207434565245,114.1874054515618,Private room,278,7,3,2025-04-24,0.84,32,362,3,
1343269474738154891,Wan chai capsule bed with door lock,50172398,Gloria,,Wan Chai,22.275387172114055,114.16738322649333,Shared room,129,10,5,2025-05-11,1.05,32,324,5,
1343307165993189963,Discovery Bay Getaway,115250469,Elin,,Islands,22.294113088506094,114.01587146165139,Entire home/apt,1045,21,2,2025-05-08,0.76,1,146,2,
1343508289430336868,油麻地站出口｜大三房一厅｜独立卫生间热水浴｜廚房可煮食｜近旺角朗豪坊廟街｜地道美食｜口岸机场巴士直达,660974549,Yuee,,Yau Tsim Mong,22.31400588096508,114.17001944035292,Entire home/apt,765,2,14,2025-06-10,2.96,1,290,14,
1343527159555429270,12樓  尖沙咀尖東站 p3出口 機場直達 可容納兩人,119690131,Cannis,,Yau Tsim Mong,22.2974268846101,114.1758047825482,Private room,319,1,0,,,44,364,0,
1343544054254712153,10樓 尖沙咀尖東站p3出口 機場直達 可容納兩人,119690131,Cannis,,Yau Tsim Mong,22.29822,114.17524,Private room,319,1,1,2025-02-05,0.22,44,364,1,
1344030954824570848,Cozy studio in North Point,365235991,Huong,,Eastern,22.29042106618551,114.19651664793491,Entire home/apt,570,1,4,2025-05-04,1.21,1,258,4,
1344053462566957002,12樓 其中二個房間 共可容納4人 尖沙咀尖東站 機場直達,119690131,Cannis,,Yau Tsim Mong,22.2973,114.17592,Private room,593,1,0,,,44,364,0,
1344215781514808796,12樓 其中三個房間 最多共可容納6人尖沙咀尖東站p3出口5分鐘,119690131,Cannis,,Yau Tsim Mong,22.2982093,114.1753096,Private room,965,1,0,,,44,364,0,
1344285080194244474,Central Cosy Quiet 1 BR apartment,196723966,Mj,,Central & Western,22.2821,114.15237,Entire home/apt,578,28,3,2025-06-01,0.94,15,340,3,
1344653687196214915,10樓 其中一個房 尖沙咀尖東站p3出口 機場直達 可容納兩人,119690131,Cannis,,Yau Tsim Mong,22.29822,114.17524,Private room,347,1,3,2025-02-16,0.65,44,364,3,
1344735451325037556,1-Room Apt in Olympic,39706636,Emily,,Yau Tsim Mong,22.31953,114.15903,Private room,603,1,1,2025-06-01,1,1,89,1,
1344742489313859169,10樓 其中二個房間 共可容納4人 尖沙咀尖東站機場直達,119690131,Cannis,,Yau Tsim Mong,22.302036727870377,114.17584358972059,Private room,592,1,0,,,44,364,0,
1344760728002937571,10樓 其中三個房間 最多共可容納6人尖沙咀尖東站p3出口5分鐘,119690131,Cannis,,Yau Tsim Mong,22.2982093,114.1753096,Private room,896,1,1,2025-04-06,0.39,44,364,1,
1344861050549775007,10樓 其中一個房間 尖沙咀尖東站p3出口 機場直達 可容納兩人,119690131,Cannis,,Yau Tsim Mong,22.29822,114.17524,Private room,359,1,0,,,44,364,0,
1344924863458289854,10樓共五個房間 團體  尖沙咀尖東站機場直達可容納10-18人,119690131,Cannis,,Yau Tsim Mong,22.297758564564248,114.17619863063597,Private room,1248,1,0,,,44,364,0,
1345680931688003483,特價月  12樓共五個房間團體 尖沙咀尖東站機場直達可容納10-16人,119690131,Cannis,,Yau Tsim Mong,22.2982093,114.1753096,Private room,1386,1,2,2025-03-30,0.55,44,360,2,
1346952773600777721,市中心，长租，短租，尖沙咀，西九龙高铁站，机场快线，旺角，庙街,667386856,Ruiting,,Yau Tsim Mong,22.306183625605076,114.17079244082409,Entire home/apt,,365,0,,,9,270,0,
1347114651226210081,精進國際酒店JST Hotel (南昌/深水埗)標準大床房,676401416,,,Sham Shui Po,22.3269069,114.1608652,Private room,435,1,1,2025-04-30,0.57,7,178,1,
1348353779324111127,市中心實惠單人床房,514885200,Wai Lok,,Yau Tsim Mong,22.305555627541736,114.1718543527786,Private room,260,3,2,2025-05-05,0.85,7,364,2,
1349197116382047490,Sea View House with beach access,3724760,Béatrice,,Southern,22.217496005017875,114.2070784743415,Entire home/apt,,15,1,2025-03-31,0.36,1,0,1,
1349234887617073970,上環/西營盤私人公寓 家的感覺 近地鐵站 海景 夜生活文青腹地,129841154,Ranli,,Central & Western,22.2870671,114.145893,Entire home/apt,633,1,1,2025-06-01,1,1,222,1,
1350358626957406720,Private flat near PolyU,218702365,Christoph Michael,,Kowloon City,22.3078928,114.1834949,Entire home/apt,,28,0,,,3,17,0,
1350771953800144506,Convenient Female Single Room,677346509,Kam Keung,,Sha Tin,22.3701833,114.1840974,Private room,330,28,0,,,1,87,0,
1351224176703361031,市中心簡約有窗雙床房,514885200,Wai Lok,,Yau Tsim Mong,22.30555066452736,114.17188653928677,Private room,294,3,0,,,7,365,0,
1351263334516705932,市區簡潔單人床房,514885200,Wai Lok,,Yau Tsim Mong,22.305543924687342,114.17185717672119,Private room,298,3,0,,,7,364,0,
